Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -301.5629    -301.5629       0.0000     0.0
0.0100        -301.4752    -304.3374       2.8622   381.8
0.0200        -301.6500    -306.5117       4.8617   648.5
0.0300        -302.0137    -308.9698       6.9560   927.8
0.0400        -302.3806    -307.2116       4.8310   644.4
0.0500        -302.7035    -309.0658       6.3622   848.6
0.0600        -303.1740    -310.3230       7.1491   953.6
0.0700        -303.6737    -311.1511       7.4774   997.4
0.0800        -304.1233    -309.2280       5.1048   680.9
0.0900        -304.4444    -311.7027       7.2583   968.2
0.1000        -305.0221    -312.6607       7.6386  1018.9
0.1100        -305.3894    -310.7231       5.3338   711.4
0.1200        -305.7960    -313.1030       7.3070   974.6
0.1300        -306.3090    -313.6014       7.2923   972.7
0.1400        -306.6526    -312.7837       6.1310   817.8
0.1500        -307.1235    -313.9523       6.8288   910.9
0.1600        -307.5222    -312.5762       5.0540   674.1
0.1700        -307.9089    -314.7974       6.8885   918.8
0.1800        -308.3161    -313.6804       5.3643   715.5
0.1900        -308.6601    -314.8495       6.1893   825.6
0.2000        -309.0194    -314.8015       5.7821   771.2
0.2100        -309.3401    -314.9675       5.6274   750.6
0.2200        -309.7392    -315.8976       6.1584   821.4
0.2300        -310.0726    -315.3857       5.3131   708.7
0.2400        -310.4524    -316.1526       5.7003   760.3
0.2500        -310.7992    -316.4464       5.6471   753.2
0.2600        -311.1062    -316.5068       5.4006   720.4
0.2700        -311.4358    -316.8521       5.4163   722.5
0.2800        -311.7663    -317.2447       5.4785   730.7
0.2900        -312.0783    -317.1634       5.0850   678.3
0.3000        -312.3320    -317.4810       5.1490   686.8
0.3100        -312.6580    -318.6578       5.9998   800.3
0.3200        -313.0004    -318.7245       5.7240   763.5
0.3300        -313.3406    -318.4255       5.0849   678.3
0.3400        -313.6436    -319.3003       5.6567   754.5
0.3500        -313.9959    -319.4333       5.4374   725.3
0.3600        -314.2944    -319.1741       4.8798   650.9
0.3700        -314.5087    -318.5798       4.0711   543.0
0.3800        -314.7359    -319.5888       4.8528   647.3
0.3900        -314.9611    -319.3219       4.3607   581.7
0.4000        -315.1597    -318.9654       3.8056   507.6
0.4100        -315.3412    -319.8005       4.4594   594.8
0.4200        -315.6010    -320.6471       5.0461   673.1
0.4300        -315.8587    -320.6398       4.7811   637.7
0.4400        -316.1142    -320.8750       4.7608   635.0
0.4500        -316.3475    -320.6204       4.2729   569.9
0.4600        -316.5599    -320.7729       4.2130   562.0
0.4700        -316.7918    -321.7416       4.9498   660.2
0.4800        -317.0342    -321.6335       4.5994   613.5
0.4900        -317.2957    -322.1674       4.8717   649.8
0.5000        -317.5614    -322.8207       5.2593   701.5
0.5100        -317.8339    -321.8999       4.0659   542.3
0.5200        -318.0283    -322.6960       4.6676   622.6
0.5300        -318.2559    -322.3519       4.0960   546.3
0.5400        -318.4524    -322.8092       4.3568   581.1
0.5500        -318.6498    -322.9349       4.2851   571.6
0.5600        -318.8439    -322.7572       3.9133   522.0
0.5700        -318.9772    -322.4895       3.5123   468.5
0.5800        -319.1331    -323.1681       4.0350   538.2
0.5900        -319.3452    -323.7811       4.4360   591.7
0.6000        -319.5481    -323.4180       3.8699   516.2
0.6100        -319.7048    -323.7986       4.0938   546.1
0.6200        -319.8661    -323.6790       3.8129   508.6
0.6300        -320.0338    -324.3005       4.2667   569.1
0.6400        -320.2238    -324.1226       3.8987   520.0
0.6500        -320.3921    -324.3970       4.0049   534.2
0.6600        -320.5798    -324.7121       4.1323   551.2
0.6700        -320.7653    -324.7847       4.0193   536.1
0.6800        -320.9367    -324.8826       3.9459   526.3
0.6900        -321.0912    -324.8903       3.7991   506.7
0.7000        -321.2325    -325.2431       4.0107   535.0
0.7100        -321.3961    -324.8421       3.4460   459.7
0.7200        -321.5514    -325.3103       3.7589   501.4
0.7300        -321.6530    -324.6426       2.9896   398.8
0.7400        -321.7646    -325.4272       3.6626   488.5
0.7500        -321.9113    -325.7165       3.8052   507.6
0.7600        -322.0521    -325.5172       3.4651   462.2
0.7700        -322.1431    -325.6286       3.4855   464.9
0.7800        -322.2849    -325.8584       3.5735   476.7
0.7900        -322.3991    -325.7103       3.3112   441.7
0.8000        -322.4849    -325.7915       3.3066   441.1
0.8100        -322.5970    -326.0354       3.4384   458.6
0.8200        -322.7172    -326.0545       3.3373   445.1
0.8300        -322.8326    -325.9370       3.1044   414.1
0.8400        -322.9123    -325.9344       3.0221   403.1
0.8500        -322.9979    -326.3295       3.3316   444.4
0.8600        -323.0988    -326.3458       3.2470   433.1
0.8700        -323.2081    -326.4776       3.2695   436.1
0.8800        -323.3086    -326.9238       3.6152   482.2
0.8900        -323.4139    -326.2498       2.8359   378.3
0.9000        -323.4554    -326.1390       2.6836   358.0
0.9100        -323.5251    -326.5033       2.9781   397.2
0.9200        -323.6190    -326.7260       3.1070   414.4
0.9300        -323.6853    -326.5748       2.8895   385.4
0.9400        -323.7337    -326.4863       2.7526   367.2
0.9500        -323.8178    -327.1348       3.3170   442.4
0.9600        -323.8985    -326.8796       2.9811   397.6
0.9700        -323.9658    -326.8989       2.9331   391.2
0.9800        -324.0247    -326.8781       2.8533   380.6
0.9900        -324.0987    -327.1384       3.0397   405.5
1.0000        -324.1847    -327.5748       3.3901   452.2
1.0100        -324.2854    -327.1996       2.9143   388.7
1.0200        -324.3499    -327.3372       2.9873   398.5
1.0300        -324.4426    -327.5895       3.1470   419.8
1.0400        -324.5333    -327.8100       3.2767   437.1
1.0500        -324.6315    -327.9307       3.2992   440.1
1.0600        -324.7222    -327.8139       3.0916   412.4
1.0700        -324.8281    -327.7278       2.8997   386.8
1.0800        -324.8806    -327.4007       2.5201   336.1
1.0900        -324.9237    -327.8460       2.9222   389.8
1.1000        -325.0124    -328.2177       3.2053   427.5
1.1100        -325.0932    -327.9446       2.8514   380.3
1.1200        -325.1601    -328.1684       3.0082   401.3
1.1300        -325.2440    -328.3305       3.0864   411.7
1.1400        -325.3108    -328.2390       2.9282   390.6
1.1500        -325.3796    -328.0402       2.6606   354.9
1.1600        -325.4305    -328.5197       3.0892   412.1
1.1700        -325.5311    -328.6512       3.1201   416.2
1.1800        -325.5949    -328.5093       2.9144   388.7
1.1900        -325.6667    -328.6691       3.0023   400.5
1.2000        -325.7530    -328.7607       3.0077   401.2
1.2100        -325.8237    -328.7914       2.9677   395.8
1.2200        -325.8864    -328.7854       2.8990   386.7
1.2300        -325.9669    -329.2685       3.3016   440.4
1.2400        -326.0586    -328.9948       2.9362   391.6
1.2500        -326.1485    -329.4935       3.3450   446.2
1.2600        -326.2200    -328.7293       2.5094   334.7
1.2700        -326.2544    -329.0347       2.7803   370.8
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -301.5629    -301.5629       0.0000     0.0
0.0100        -301.4752    -304.3374       2.8622   381.8
0.0200        -301.6500    -306.5117       4.8617   648.5
0.0300        -302.0138    -308.9698       6.9560   927.8
0.0400        -302.3806    -307.2117       4.8311   644.4
0.0500        -302.7036    -309.0658       6.3622   848.6
0.0600        -303.1739    -310.3230       7.1491   953.6
0.0700        -303.6736    -311.1510       7.4774   997.4
0.0800        -304.1232    -309.2280       5.1048   680.9
0.0900        -304.4442    -311.7026       7.2584   968.2
0.1000        -305.0219    -312.6606       7.6387  1018.9
0.1100        -305.3892    -310.7229       5.3337   711.4
0.1200        -305.7962    -313.1028       7.3066   974.6
0.1300        -306.3095    -313.6015       7.2920   972.7
0.1400        -306.6532    -312.7841       6.1310   817.8
0.1500        -307.1240    -313.9525       6.8285   910.8
0.1600        -307.5226    -312.5768       5.0542   674.2
0.1700        -307.9098    -314.7978       6.8879   918.8
0.1800        -308.3168    -313.6808       5.3640   715.5
0.1900        -308.6608    -314.8492       6.1885   825.4
0.2000        -309.0203    -314.8017       5.7813   771.1
0.2100        -309.3413    -314.9681       5.6268   750.5
0.2200        -309.7405    -315.8971       6.1566   821.2
0.2300        -310.0728    -315.3848       5.3120   708.5
0.2400        -310.4525    -316.1513       5.6988   760.1
0.2500        -310.7992    -316.4457       5.6465   753.2
0.2600        -311.1066    -316.5072       5.4006   720.4
0.2700        -311.4374    -316.8528       5.4155   722.3
0.2800        -311.7684    -317.2512       5.4828   731.3
0.2900        -312.0788    -317.1625       5.0838   678.1
0.3000        -312.3318    -317.4837       5.1519   687.2
0.3100        -312.6597    -318.6581       5.9985   800.1
0.3200        -313.0032    -318.7239       5.7207   763.1
0.3300        -313.3410    -318.4300       5.0890   678.8
0.3400        -313.6433    -319.2964       5.6532   754.1
0.3500        -313.9927    -319.4345       5.4418   725.9
0.3600        -314.2901    -319.1742       4.8840   651.5
0.3700        -314.5069    -318.5860       4.0791   544.1
0.3800        -314.7312    -319.5887       4.8575   647.9
0.3900        -314.9570    -319.3249       4.3678   582.6
0.4000        -315.1563    -318.9831       3.8267   510.4
0.4100        -315.3421    -319.8537       4.5116   601.8
0.4200        -315.6062    -320.7140       5.1078   681.3
0.4300        -315.8629    -320.6310       4.7682   636.0
0.4400        -316.1165    -320.9247       4.8083   641.4
0.4500        -316.3453    -320.5541       4.2089   561.4
0.4600        -316.5573    -320.8150       4.2577   567.9
0.4700        -316.7934    -321.7529       4.9594   661.5
0.4800        -317.0364    -321.6935       4.6571   621.2
0.4900        -317.3029    -322.1903       4.8874   651.9
0.5000        -317.5684    -322.7233       5.1549   687.6
0.5100        -317.8286    -321.9101       4.0815   544.4
0.5200        -318.0276    -322.7473       4.7197   629.5
0.5300        -318.2600    -322.2837       4.0237   536.7
0.5400        -318.4568    -322.8726       4.4158   589.0
0.5500        -318.6557    -322.9557       4.3000   573.6
0.5600        -318.8547    -322.8661       4.0115   535.1
0.5700        -318.9950    -322.5116       3.5167   469.1
0.5800        -319.1589    -323.2787       4.1198   549.5
0.5900        -319.3718    -323.7472       4.3753   583.6
0.6000        -319.5821    -323.3993       3.8172   509.2
0.6100        -319.7317    -323.7254       3.9937   532.7
0.6200        -319.9073    -323.8393       3.9320   524.5
0.6300        -320.0858    -324.2591       4.1733   556.7
0.6400        -320.2705    -324.2744       4.0039   534.1
0.6500        -320.4638    -324.9282       4.4644   595.5
0.6600        -320.6866    -325.1626       4.4760   597.0
0.6700        -320.8845    -324.8496       3.9651   528.9
0.6800        -321.0464    -325.0150       3.9686   529.3
0.6900        -321.2267    -325.2505       4.0238   536.7
0.7000        -321.3977    -325.2361       3.8384   512.0
0.7100        -321.5401    -324.9313       3.3912   452.3
0.7200        -321.6675    -325.0608       3.3933   452.6
0.7300        -321.7727    -325.1383       3.3657   448.9
0.7400        -321.9284    -325.7993       3.8709   516.3
0.7500        -322.0806    -325.9241       3.8435   512.7
0.7600        -322.2432    -326.0507       3.8075   507.9
0.7700        -322.3722    -325.9448       3.5726   476.5
0.7800        -322.5413    -326.4062       3.8648   515.5
0.7900        -322.7013    -326.2616       3.5602   474.9
0.8000        -322.8003    -325.6731       2.8728   383.2
0.8100        -322.9052    -326.6474       3.7421   499.1
0.8200        -323.0421    -326.3672       3.3251   443.5
0.8300        -323.1533    -326.6385       3.4852   464.9
0.8400        -323.2609    -326.3860       3.1250   416.8
0.8500        -323.3552    -326.6576       3.3024   440.5
0.8600        -323.4533    -326.7973       3.3440   446.0
0.8700        -323.5598    -326.9983       3.4385   458.6
0.8800        -323.6640    -327.0872       3.4232   456.6
0.8900        -323.7630    -326.9249       3.1619   421.8
0.9000        -323.8600    -327.1598       3.2998   440.1
0.9100        -323.9281    -326.7723       2.8442   379.4
0.9200        -324.0009    -326.8447       2.8438   379.3
0.9300        -324.0629    -327.0695       3.0066   401.0
0.9400        -324.1357    -326.9708       2.8351   378.2
0.9500        -324.2164    -327.4172       3.2008   426.9
0.9600        -324.3340    -327.5858       3.2518   433.7
0.9700        -324.4327    -327.8065       3.3738   450.0
0.9800        -324.5386    -327.6573       3.1187   416.0
0.9900        -324.6285    -327.8350       3.2064   427.7
1.0000        -324.7120    -327.7231       3.0111   401.6
1.0100        -324.7977    -327.8808       3.0832   411.2
1.0200        -324.9187    -328.3969       3.4782   463.9
1.0300        -325.0322    -328.3874       3.3552   447.5
1.0400        -325.1429    -328.6085       3.4656   462.3
1.0500        -325.2720    -328.9897       3.7176   495.9
1.0600        -325.4315    -329.4820       4.0505   540.3
1.0700        -325.6214    -329.6227       4.0014   533.7
1.0800        -325.7885    -329.4225       3.6339   484.7
1.0900        -325.9198    -329.4619       3.5420   472.5
1.1000        -326.0318    -329.3991       3.3673   449.1
1.1100        -326.1470    -329.5529       3.4059   454.3
1.1200        -326.2466    -329.4269       3.1803   424.2
1.1300        -326.3627    -329.8693       3.5066   467.7
1.1400        -326.4584    -329.6913       3.2329   431.2
1.1500        -326.5329    -329.2477       2.7148   362.1
1.1600        -326.6400    -330.3043       3.6642   488.8
1.1700        -326.7759    -330.1122       3.3363   445.0
1.1800        -326.8626    -329.7222       2.8596   381.4
1.1900        -326.9215    -329.6651       2.7436   366.0
1.2000        -326.9573    -329.7122       2.7549   367.5
1.2100        -327.0045    -329.7015       2.6970   359.7
1.2200        -327.0569    -329.9881       2.9312   391.0
1.2300        -327.1468    -330.5072       3.3605   448.2
1.2400        -327.2535    -330.2672       3.0138   402.0
1.2500        -327.3155    -330.3448       3.0293   404.1
1.2600        -327.3954    -330.2994       2.9040   387.3
1.2700        -327.4672    -330.4449       2.9778   397.2
1.2800        -327.5405    -330.4958       2.9553   394.2
1.2900        -327.6099    -330.5177       2.9078   387.9
1.3000        -327.6967    -330.8314       3.1347   418.1
1.3100        -327.8093    -331.2645       3.4552   460.9
1.3200        -327.9319    -331.5014       3.5695   476.1
1.3300        -328.0467    -331.3731       3.3264   443.7
1.3400        -328.1391    -331.0388       2.8997   386.8
1.3500        -328.2022    -331.3907       3.1885   425.3
1.3600        -328.2871    -331.3906       3.1034   414.0
1.3700        -328.3979    -331.6938       3.2959   439.6
1.3800        -328.5040    -331.8589       3.3549   447.5
1.3900        -328.6115    -331.9683       3.3568   447.7
1.4000        -328.7103    -331.9349       3.2246   430.1
1.4100        -328.7887    -332.1030       3.3143   442.1
1.4200        -328.9041    -332.3425       3.4384   458.6
1.4300        -329.0237    -332.2645       3.2408   432.3
1.4400        -329.1317    -332.3043       3.1725   423.2
1.4500        -329.2532    -332.5758       3.3226   443.2
1.4600        -329.3502    -332.3543       3.0041   400.7
1.4700        -329.4311    -332.6530       3.2219   429.8
1.4800        -329.5219    -332.5641       3.0422   405.8
1.4900        -329.6136    -332.9807       3.3670   449.1
1.5000        -329.7149    -333.0949       3.3800   450.8
1.5100        -329.8480    -333.4698       3.6218   483.1
1.5200        -329.9674    -333.1293       3.1619   421.8
1.5300        -330.0651    -333.4245       3.3594   448.1
1.5400        -330.2012    -333.8273       3.6261   483.7
1.5500        -330.3364    -333.9176       3.5812   477.7
1.5600        -330.4595    -333.8862       3.4267   457.1
1.5700        -330.5740    -333.6857       3.1117   415.1
1.5800        -330.6720    -334.1048       3.4328   457.9
1.5900        -330.7698    -333.9812       3.2113   428.3
1.6000        -330.8659    -333.9416       3.0757   410.3
1.6100        -330.9537    -333.9845       3.0308   404.3
1.6200        -331.0389    -334.3573       3.3184   442.6
1.6300        -331.1406    -334.2338       3.0932   412.6
1.6400        -331.2154    -334.1519       2.9365   391.7
1.6500        -331.2781    -334.1805       2.9024   387.1
1.6600        -331.3499    -334.2143       2.8644   382.1
1.6700        -331.4165    -334.4452       3.0287   404.0
1.6800        -331.4922    -334.5211       3.0289   404.0
1.6900        -331.5622    -334.6016       3.0394   405.4
1.7000        -331.6597    -334.9914       3.3317   444.4
1.7100        -331.7550    -334.8521       3.0971   413.1
